"Arquivo","Linha","Tipo","Trecho"
"\src\app\(site)\ambientes\[slug]\page.jsx","24","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-4xl text-branco-gelo text-center mb-10"">"
"\src\app\(site)\ambientes\[slug]\page.jsx","25","SEM_ACENTO (titulo)","{ambiente.titulo}"
"\src\app\(site)\ambientes\[slug]\page.jsx","25","SEM_ACENTO (ambiente)","{ambiente.titulo}"
"\src\app\(site)\ambientes\[slug]\page.jsx","30","SEM_ACENTO (ambiente)","src={ambiente.imagemCapa}"
"\src\app\(site)\ambientes\[slug]\page.jsx","31","SEM_ACENTO (titulo)","alt={ambiente.titulo}"
"\src\app\(site)\ambientes\[slug]\page.jsx","31","SEM_ACENTO (ambiente)","alt={ambiente.titulo}"
"\src\app\(site)\ambientes\[slug]\page.jsx","40","SEM_ACENTO (descricao)","{ambiente.descricao}"
"\src\app\(site)\ambientes\[slug]\page.jsx","40","SEM_ACENTO (ambiente)","{ambiente.descricao}"
"\src\app\(site)\ambientes\[slug]\page.jsx","48","SEM_ACENTO (projeto)","Solicitar Projeto para este Ambiente"
"\src\app\(site)\ambientes\[slug]\page.jsx","48","SEM_ACENTO (ambiente)","Solicitar Projeto para este Ambiente"
"\src\app\(site)\ambientes\page.jsx","8","SEM_ACENTO (moveis)","title: ""Ambientes | AW Marcenaria e Moveis Planejados"","
"\src\app\(site)\ambientes\page.jsx","10","SEM_ACENTO (conheca)","""Conheca os ambientes projetados pela AW Marcenaria: cozinhas, closets, dormitorios, salas, home office e muito mais, com acabamento premium e projeto personalizado."","
"\src\app\(site)\ambientes\page.jsx","10","SEM_ACENTO (dormitorios)","""Conheca os ambientes projetados pela AW Marcenaria: cozinhas, closets, dormitorios, salas, home office e muito mais, com acabamento premium e projeto personalizado."","
"\src\app\(site)\ambientes\page.jsx","10","SEM_ACENTO (projeto)","""Conheca os ambientes projetados pela AW Marcenaria: cozinhas, closets, dormitorios, salas, home office e muito mais, com acabamento premium e projeto personalizado."","
"\src\app\(site)\ambientes\page.jsx","10","SEM_ACENTO (premium)","""Conheca os ambientes projetados pela AW Marcenaria: cozinhas, closets, dormitorios, salas, home office e muito mais, com acabamento premium e projeto personalizado."","
"\src\app\(site)\ambientes\page.jsx","10","SEM_ACENTO (acabamento)","""Conheca os ambientes projetados pela AW Marcenaria: cozinhas, closets, dormitorios, salas, home office e muito mais, com acabamento premium e projeto personalizado."","
"\src\app\(site)\ambientes\page.jsx","14","SEM_ACENTO (ambiente)","const ambientes = await prisma.ambiente.findMany({"
"\src\app\(site)\ambientes\page.jsx","24","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-4xl md:text-5xl text-branco-gelo text-center mb-6"">"
"\src\app\(site)\ambientes\page.jsx","25","SEM_ACENTO (espaco)","Cada espaco, um projeto exclusivo"
"\src\app\(site)\ambientes\page.jsx","25","SEM_ACENTO (projeto)","Cada espaco, um projeto exclusivo"
"\src\app\(site)\ambientes\page.jsx","25","SEM_ACENTO (exclusivo)","Cada espaco, um projeto exclusivo"
"\src\app\(site)\ambientes\page.jsx","28","SEM_ACENTO (ambiente)","Da cozinha ao closet, cada ambiente e pensado sob medida - com"
"\src\app\(site)\ambientes\page.jsx","28","SEM_ACENTO (closet)","Da cozinha ao closet, cada ambiente e pensado sob medida - com"
"\src\app\(site)\ambientes\page.jsx","28","SEM_ACENTO (cozinha)","Da cozinha ao closet, cada ambiente e pensado sob medida - com"
"\src\app\(site)\ambientes\page.jsx","29","SEM_ACENTO (impecavel)","consultoria de design, materiais premium e acabamento impecavel do"
"\src\app\(site)\ambientes\page.jsx","29","SEM_ACENTO (premium)","consultoria de design, materiais premium e acabamento impecavel do"
"\src\app\(site)\ambientes\page.jsx","29","SEM_ACENTO (consultoria)","consultoria de design, materiais premium e acabamento impecavel do"
"\src\app\(site)\ambientes\page.jsx","29","SEM_ACENTO (acabamento)","consultoria de design, materiais premium e acabamento impecavel do"
"\src\app\(site)\ambientes\page.jsx","29","SEM_ACENTO (materiais)","consultoria de design, materiais premium e acabamento impecavel do"
"\src\app\(site)\ambientes\page.jsx","30","SEM_ACENTO (inicio)","inicio ao fim."
"\src\app\(site)\ambientes\page.jsx","35","SEM_ACENTO (ambiente)","Nenhum ambiente cadastrado ainda."
"\src\app\(site)\ambientes\page.jsx","39","SEM_ACENTO (ambiente)","{ambientes.map((ambiente) => ("
"\src\app\(site)\ambientes\page.jsx","41","SEM_ACENTO (ambiente)","key={ambiente.id}"
